transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,is_in_customer_db,is_flagged,transaction_type,notes
78b174d8-6931-4df1-8694-d3cd41e04314,2023-12-10 15:19:53,47497.89,USD,GB06GVPG75250050781414,GB14AVXD03258222418730,Swaziland,Samanthamouth,Barbados,Berryfurt,True,True,deposit,
2831b55d-cde4-4cd6-9499-2d473b97cfbe,2023-04-01 13:25:52,13672.01,SEK,GB64KKFA00970035213135,GB39XZPI80715569457171,Guatemala,Kristinaland,Sri Lanka,Dennismouth,True,True,withdrawal,
ff7b7d6f-bb8b-4db6-96d1-bf9284dc3d0d,2023-04-15 07:42:51,47110.63,EUR,GB77ECSH21707421220820,GB63CALS40170922697224,Bulgaria,Douglasstad,Bouvet Island (Bouvetoya),Stewartchester,True,True,payment,Line write various station.
e2f1afe8-f8de-4509-a725-245721e61a64,2023-07-20 07:13:37,4113.78,GBP,GB93ZDEB78084192109005,GB53CUQZ25675258930900,Timor-Leste,Phillipsstad,Saint Barthelemy,West Troy,True,False,payment,
c216b66a-5aa3-4154-9291-6163cee39595,2023-09-28 22:16:42,41749.69,GBP,GB84ARPG41194352965986,GB83ODWB06613727314393,Tokelau,New George,Vietnam,Lake Robertside,True,True,withdrawal,Bed rise wish purpose dark act.
54bea72d-2526-44b9-9849-15a1872f8590,2023-07-21 22:14:55,17161.0,GBP,GB83GITM75760231319370,GB19HOIS56726575848925,Burkina Faso,,Somalia,Christopherburgh,False,True,payment,
24279d9b-1fb2-455c-bea1-b4f4e8a7b542,2023-04-06 16:32:41,46023.48,EUR,GB39NSIR51738185863531,GB38QWZK27124507991103,Swaziland,South Peter,Gambia,Sharontown,True,True,deposit,
c72d85ae-7320-4b11-a5af-5f7508081da5,2023-08-15 20:46:31,30142.59,USD,GB17AKKU89204763364950,GB19DUWT94122332942799,Comoros,South Nicole,Congo,Lake Michael,True,False,transfer,Notice hot their area nation power.
27b02cea-56b9-4394-a24d-78e63c6195a8,2023-06-02 13:05:02,9783.23,EUR,GB04NJGK04236191696145,GB89UPRW73751470300882,Nicaragua,West Rachelview,Lebanon,Lake Wendyfort,True,False,payment,
5a85cf20-27aa-4bfc-81a9-b4222d35ca5c,2023-01-09 22:39:22,49502.61,USD,GB73MPSV29321180974549,GB04CFZR71085965908083,Suriname,Davidfort,Niger,Brownville,True,True,withdrawal,
1c3c234d-b022-4f4e-a86d-4006f26ae974,2023-03-28 16:25:43,11536.13,USD,GB84OIYJ80068661481799,GB77PAMU31353774454586,Niue,West Robert,Senegal,Meganville,True,True,payment,
b1da0b38-3de8-4434-8e35-44dcd0b9aaf1,2023-11-14 12:18:34,43041.08,EUR,GB95SNMR02351473415645,GB37TCIF97315722764414,Seychelles,North Hollyville,Libyan Arab Jamahiriya,Lake Patricia,False,True,payment,
2c3c3405-a47b-4050-950a-4a8e47aebf93,2023-09-22 10:10:36,3321.59,SEK,GB28VJZF17499665982517,GB63PLIG88502200671078,Afghanistan,Hernandezland,Congo,New Marciashire,True,False,deposit,And special article person.
